iter	RMSE
0	3052.685027
1	3013.366269
2	2980.025586
3	2947.342822
4	2921.581277
5	2894.97216
6	2869.68298
7	2845.625858
8	2826.308154
9	2807.668939
10	2789.171712
11	2772.019517
12	2757.781049
13	2741.779706
14	2728.866267
15	2716.336894
16	2705.68294
17	2694.470668
18	2685.658393
19	2675.097387
20	2666.625317
21	2656.612977
22	2648.35407
23	2641.67644
24	2632.975702
25	2626.669598
26	2620.536607
27	2613.039825
28	2607.286734
29	2602.343227
30	2596.160201
31	2590.389981
32	2585.973316
33	2580.695776
34	2576.189293
35	2566.023045
36	2560.270022
37	2556.129123
38	2552.193589
39	2545.152065
40	2537.374719
41	2533.479886
42	2529.409634
43	2526.564548
44	2521.12716
45	2517.25398
46	2513.000112
47	2507.567227
48	2504.004941
49	2499.286891
50	2496.314649
51	2492.728594
52	2487.017614
53	2483.381699
54	2480.213167
55	2475.575024
56	2473.136637
57	2470.691324
58	2465.685691
59	2461.903915
60	2459.062186
61	2455.50583
62	2449.843652
63	2447.539595
64	2441.652142
65	2438.854912
66	2435.554912
67	2429.708554
68	2426.561199
69	2424.242624
70	2419.523464
71	2417.852028
72	2414.904657
73	2411.794853
74	2410.03711
75	2406.864251
76	2401.787401
77	2396.538752
78	2394.306414
79	2391.011815
80	2388.162829
81	2385.639731
82	2383.38808
83	2381.602648
84	2379.535619
85	2377.497188
86	2375.464587
87	2373.807158
88	2371.354422
89	2368.861902
90	2365.802552
91	2363.111435
92	2360.987625
93	2359.009255
94	2357.50403
95	2354.623633
96	2352.492622
97	2349.503879
98	2348.187012
99	2346.164253
100	2344.486385
101	2342.68531
102	2339.03766
103	2336.309729
104	2333.477673
105	2329.782501
106	2326.893941
107	2324.68934
108	2323.393332
109	2322.286897
110	2320.434142
111	2318.560503
112	2315.747448
113	2314.174702
114	2312.129347
115	2310.393035
116	2307.77554
117	2305.78315
118	2301.642222
119	2299.331184
120	2297.216858
121	2295.546759
122	2294.25873
123	2292.827556
124	2290.708191
125	2286.391115
126	2284.507064
127	2282.457392
128	2279.805799
129	2277.51584
130	2276.019102
131	2273.380003
132	2271.97786
133	2271.116734
134	2269.289182
135	2267.470776
136	2266.19732
137	2263.847658
138	2260.564122
139	2259.289006
140	2256.667551
141	2255.28201
142	2253.943487
143	2249.031189
144	2246.899407
145	2244.528324
146	2242.811442
147	2239.000183
148	2237.77651
149	2233.76294
150	2232.114259
151	2229.931559
152	2227.544974
153	2225.629152
154	2224.073614
155	2220.63853
156	2218.296706
157	2217.265806
158	2215.723229
159	2213.775884
160	2209.98889
161	2208.811714
162	2207.196046
163	2205.186123
164	2202.150249
165	2200.02837
166	2198.231336
167	2196.641247
168	2195.005656
169	2193.330595
170	2190.959656
171	2189.30651
172	2187.585951
173	2185.98412
174	2184.382182
175	2182.653676
176	2179.914003
177	2178.223082
178	2176.785853
179	2175.326542
180	2173.803849
181	2172.267182
182	2170.276804
183	2169.382345
184	2167.770426
185	2165.591365
186	2162.45958
187	2161.420198
188	2160.543515
189	2158.871132
190	2155.280375
191	2153.815191
192	2152.6993
193	2151.041997
