iter	Passed	Remaining
0	94	94540
1	100	50045
2	113	37832
3	118	29483
4	122	24281
5	133	22063
6	137	19507
7	140	17455
8	144	15907
9	147	14651
10	151	13652
11	154	12753
12	164	12491
13	169	11950
14	174	11450
15	178	10958
16	184	10697
17	197	10792
18	203	10531
19	213	10479
20	216	10102
21	219	9751
22	222	9447
23	232	9447
24	238	9285
25	241	9037
26	244	8827
27	248	8635
28	254	8526
29	263	8510
30	267	8346
31	277	8396
32	283	8296
33	290	8251
34	293	8101
35	305	8169
36	312	8133
37	317	8040
38	335	8265
39	340	8163
40	347	8122
41	371	8469
42	385	8579
43	390	8494
44	405	8596
45	414	8587
46	418	8493
47	426	8459
48	431	8370
49	437	8303
50	441	8210
51	458	8351
52	469	8380
53	473	8288
54	478	8226
55	482	8139
56	486	8050
57	490	7972
58	495	7896
59	499	7828
60	504	7758
61	508	7690
62	511	7602
63	516	7558
64	520	7487
65	523	7413
66	530	7386
67	546	7485
68	551	7440
69	561	7461
70	577	7556
71	591	7618
72	598	7602
73	606	7592
74	613	7560
75	620	7544
76	626	7513
77	632	7473
78	643	7499
79	647	7444
80	656	7445
81	670	7507
82	676	7475
83	679	7411
84	688	7410
85	691	7353
86	700	7348
87	703	7291
88	709	7261
89	712	7207
90	715	7150
91	718	7094
92	722	7046
93	726	7002
94	729	6948
95	737	6946
96	740	6896
97	747	6879
98	750	6832
99	756	6811
100	760	6766
101	766	6747
102	772	6731
103	776	6692
104	779	6646
105	786	6636
106	792	6610
107	796	6580
108	800	6544
109	812	6571
110	817	6547
111	823	6527
112	827	6494
113	831	6466
114	835	6430
115	840	6401
116	855	6454
117	861	6436
118	864	6403
119	874	6416
120	883	6419
121	888	6392
122	895	6384
123	899	6357
124	910	6375
125	913	6339
126	946	6504
127	958	6528
128	967	6531
129	974	6518
130	983	6524
131	999	6569
132	1002	6536
133	1006	6504
134	1010	6474
135	1013	6439
136	1024	6455
137	1028	6421
138	1033	6399
139	1036	6368
140	1042	6353
141	1055	6377
142	1065	6388
143	1070	6363
144	1075	6339
145	1083	6340
146	1094	6351
147	1099	6331
